total_parameters,total_training_time,test_accuracy
3807301,1364.43896484375,0.9122596383094788
2787785,1241.759033203125,0.8839142918586731
22257802,3594.23095703125,0.8977363705635071
3828707,1342.613037109375,0.9089543223381042
3828707,1342.613037109375,0.9089543223381042
5793546,1507.739013671875,0.9042468070983887
3823438,1343.35302734375,0.917067289352417
2787785,1243.77001953125,0.8846153616905212
5793546,1537.2020263671875,0.9047476053237915
3828707,1346.9990234375,0.8949319124221802
21384074,3354.64111328125,0.8782051205635071
3531852,1179.361083984375,0.8905248641967773
3828707,1342.613037109375,0.9089543223381042
7681802,1528.22802734375,0.8698918223381042
3828707,1342.5469970703125,0.9121594429016113
21384074,3330.281982421875,0.8914262652397156
3828707,1342.5469970703125,0.9121594429016113
3536475,1172.135986328125,0.893629789352417
2787785,1242.132080078125,0.8853164911270142
3823438,1343.35302734375,0.917067289352417
2787785,1243.77001953125,0.8846153616905212
3828707,1342.613037109375,0.9089543223381042
2787785,1241.759033203125,0.8839142918586731
5617418,1273.7979736328125,0.8707932829856873
3536475,1171.637939453125,0.8715945482254028
3828707,1342.613037109375,0.9089543223381042
1522890,736.114013671875,0.9001402258872986
5793546,1512.955078125,0.8979367017745972
29805450,3593.123046875,0.8712940812110901
5793546,1500.5670166015625,0.8843148946762085
2787785,1227.81298828125,0.8926281929016113
2787139,1240.3819580078125,0.8961338400840759
3828707,1342.5469970703125,0.9121594429016113
3828707,1342.5469970703125,0.9121594429016113
2038986,804.9949951171875,0.9078525900840759
2771002,1263.218994140625,0.9075520634651184
22257802,3595.6591796875,0.9055488705635071
22257802,3594.23095703125,0.8977363705635071
3828707,1342.613037109375,0.9089543223381042
22257802,3586.18798828125,0.9064503312110901
2038986,778.27197265625,0.8831129670143127
3536475,1171.637939453125,0.8715945482254028
3824084,1345.0029296875,0.9102563858032227
3828707,1346.9990234375,0.8949319124221802
2038986,805.8489990234375,0.9011418223381042
3828707,1342.5469970703125,0.9121594429016113
2787785,1243.77001953125,0.8846153616905212
2038986,778.27197265625,0.8831129670143127
2787785,1242.132080078125,0.8853164911270142
2038986,805.8489990234375,0.9011418223381042
2787785,1241.759033203125,0.8839142918586731
22257802,3594.23095703125,0.8977363705635071
2787785,1241.759033203125,0.8839142918586731
1522890,730.7059936523438,0.9025440812110901
3828707,1342.613037109375,0.9089543223381042
1522890,736.114013671875,0.9001402258872986
3828707,1346.9990234375,0.8949319124221802
22257802,3595.455078125,0.9034455418586731
3828707,1342.613037109375,0.9089543223381042
5356682,1378.98095703125,0.8960336446762085
3828707,1342.613037109375,0.9089543223381042
3828707,1342.613037109375,0.9089543223381042
22257802,3595.455078125,0.9034455418586731
3828707,1342.5469970703125,0.9121594429016113
2038986,804.9949951171875,0.9078525900840759
3810248,1362.751953125,0.9196714758872986
2038986,805.8489990234375,0.9011418223381042
22257802,3585.699951171875,0.8973357081413269
5793546,1529.9110107421875,0.8903245329856873
3823438,1343.760009765625,0.9160656929016113
3824084,1345.0029296875,0.9102563858032227
3828707,1346.9990234375,0.8949319124221802
22257802,3595.455078125,0.9034455418586731
3828707,1346.9990234375,0.8949319124221802
2787139,1241.262939453125,0.8961338400840759
22257802,3594.23095703125,0.8977363705635071
2495553,1104.2989501953125,0.8888221383094788
2038986,804.7160034179688,0.9069511294364929
2787785,1243.77001953125,0.8846153616905212
3828707,1346.9990234375,0.8949319124221802
3828707,1346.9990234375,0.8949319124221802
2787785,1243.77001953125,0.8846153616905212
5793546,1532.8070068359375,0.905348539352417
3823438,1344.8809814453125,0.8995392918586731
3828707,1342.5469970703125,0.9121594429016113
3828707,1346.9990234375,0.8949319124221802
3828707,1342.5469970703125,0.9121594429016113
2038986,797.7750244140625,0.9039463400840759
5793546,1537.2020263671875,0.9047476053237915
3828707,1346.9990234375,0.8949319124221802
2787139,1243.033935546875,0.8865184187889099
3828707,1342.613037109375,0.9089543223381042
