T_Mean;T_Standard_Deviation;T_Max;T_Min;G_Mean;G_Standard_Deviation;G_Max;G_Min;;Iteration;Dataset;Mean Test Accuracy
0.5147135443985462;0.27424305513895464;0.7475961446762085;0.10006009787321091;0.8396648934909275;0.07242848526566427;0.92578125;0.7442908883094788;;1;Training Set;0.7475961446762085
0.5354817815124988;0.29946263656818184;0.9256811141967773;0.10006009787321091;0.8200768232345581;0.06498978867561252;0.9292868375778198;0.7400841116905212;;1;Generated Set;0.92578125
0.7449969973415136;0.1752305267015329;0.9292868375778198;0.10006009787321091;0.8169537941614787;0.08724396621220164;0.9256811141967773;0.680588960647583;;2;Training Set;0.9256811141967773
0.6448317334055901;0.2898507674050967;0.92578125;0.10006009787321091;0.8614640576498849;0.06914038072707715;0.9270833134651184;0.680588960647583;;2;Generated Set;0.9292868375778198
0.6655148282647133;0.3005582010619331;0.9256811141967773;0.10006009787321091;0.8142215088009834;0.0946915514537294;0.9256811141967773;0.6307091116905212;;3;Training Set;0.9292868375778198
0.7615364594757557;0.1943650917770531;0.9270833134651184;0.10006009787321091;0.8496594534200781;0.06080371733329885;0.9270833134651184;0.7574118375778198;;3;Generated Set;0.9256811141967773
0.7699358958005905;0.21329870323707023;0.9270833134651184;0.10006009787321091;0.8410769701004028;0.08331311327146597;0.9292868375778198;0.6307091116905212;;4;Training Set;0.92578125
0.7672556038200855;0.19011814160851742;0.9270833134651184;0.10006009787321091;0.833984375;0.07725244588258959;0.9238781929016113;0.680588960647583;;4;Generated Set;0.9270833134651184
0.7505889408290386;0.2314345624362622;0.9292868375778198;0.10006009787321091;0.8234482906185664;0.21357422183771088;0.926682710647583;0.10006009787321091;;5;Training Set;0.9256811141967773
0.770050078034401;0.21460973125488256;0.9292868375778198;0.10006009787321091;0.8153430085915786;0.07567385034127279;0.9230769276618958;0.6444311141967773;;5;Generated Set;0.9256811141967773
0.8005488786101341;0.16373756054549157;0.9270833134651184;0.10006009787321091;0.7931189901298947;0.10129019300739905;0.9250801205635071;0.6444311141967773;;6;Training Set;0.9270833134651184
0.8300320494174958;0.10269950438409595;0.9292868375778198;0.5137219429016113;0.7979166666666667;0.08899318611142584;0.9250801205635071;0.6307091116905212;;6;Generated Set;0.9270833134651184
0.8090184293687344;0.13508457630689583;0.9292868375778198;0.10006009787321091;0.7911157820905957;0.08511761912615232;0.92578125;0.6307091116905212;;7;Training Set;0.9270833134651184
0.7424899834394455;0.20601683516917443;0.9270833134651184;0.10006009787321091;0.8437374792993069;0.06125018139341027;0.9282852411270142;0.7442908883094788;;7;Generated Set;0.9292868375778198
0.811294070482254;0.09611372936388501;0.9270833134651184;0.6264022588729858;0.8359687998890877;0.09074390337283318;0.9278846383094788;0.6193910241127014;;8;Training Set;0.9270833134651184
0.7976322102546692;0.08486189906974889;0.92578125;0.6193910241127014;0.8198506500985887;0.0852121575198186;0.9298878312110901;0.6193910241127014;;8;Generated Set;0.9238781929016113
0.7760496804118157;0.1681697521303827;0.9292868375778198;0.10006009787321091;0.8483573689180262;0.07865651319822903;0.9299879670143127;0.680588960647583;;9;Training Set;0.9292868375778198
0.7838661834597588;0.17363113820274423;0.9299879670143127;0.10006009787321091;0.8376802881558736;0.08867656202425465;0.9269831776618958;0.6307091116905212;;9;Generated Set;0.926682710647583
0.8054647454619408;0.16212023647631113;0.9278846383094788;0.10006009787321091;0.8044871787230173;0.06120964494669537;0.9229767918586731;0.6977163553237915;;10;Training Set;0.9292868375778198
0.8065564905107021;0.1362186937792897;0.9299879670143127;0.10006009787321091;0.8351593292676486;0.06678051343060704;0.9270833134651184;0.7574118375778198;;10;Generated Set;0.9230769276618958
0.8075180266797543;0.12750625579471528;0.9282852411270142;0.10006009787321091;0.9069135636091232;0.010490974485363411;0.9238781929016113;0.8801081776618958;;11;Training Set;0.9270833134651184
0.8009755598008632;0.13653031104171123;0.9292868375778198;0.10006009787321091;0.9074832238256931;0.007966969053862896;0.9152644276618958;0.8877203464508057;;11;Generated Set;0.9250801205635071
0.7700240394473076;0.15822202268952;0.92578125;0.10006009787321091;0.9094801768660545;0.01098733761254343;0.9229767918586731;0.8830128312110901;;12;Training Set;0.9292868375778198
0.7761418242752552;0.18744289154514707;0.9292868375778198;0.10006009787321091;0.9113346022718093;0.005782266736814376;0.9263821840286255;0.8990384340286255;;12;Generated Set;0.9250801205635071
0.7828004796802998;0.1933303772587398;0.9292868375778198;0.10006009787321091;0.9104251014558893;0.009714054038615805;0.9238781929016113;0.8849158883094788;;13;Training Set;0.9292868375778198
0.8420612965524197;0.12598162936129398;0.92578125;0.10006009787321091;0.9117421143584781;0.01029672747618563;0.9263821840286255;0.87890625;;13;Generated Set;0.92578125
0.8348998402059078;0.13462402731390827;0.9292868375778198;0.10006009787321091;0.9077945822163632;0.011145438371555266;0.9256811141967773;0.8835136294364929;;14;Training Set;0.9270833134651184
0.8478084945678711;0.09328129430655328;0.9299879670143127;0.6193910241127014;0.9085654686479008;0.0074403811388226;0.9213742017745972;0.8907251358032227;;14;Generated Set;0.9282852411270142
0.8297856578230858;0.16534940786861013;0.9298878312110901;0.10006009787321091;0.9086833070306217;0.01325364542718168;0.9256811141967773;0.8765023946762085;;15;Training Set;0.9270833134651184
0.8350640998780727;0.13014737849456556;0.9263821840286255;0.10006009787321091;0.9105694107711315;0.010436569915204084;0.9256811141967773;0.8801081776618958;;15;Generated Set;0.9278846383094788
